Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
arm_base,-0.00314201374155656,-0.000316576969441296,0.0310618347596631,0,0,0,0.126527076069415,0.000112288059520224,-9.28284765851997E-07,1.66442838582405E-07,0.000108773547634347,-5.48664083571427E-07,0.000142112834287267,0,0,0,0,0,0,package://mycobot_320/meshes/arm_base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/arm_base.STL,,base.STEP-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1,-4.65008859791595E-06,-0.00713845775566615,0.039058845834672,0,0,0,0.0427054445276861,3.72257027289962E-05,6.57695397778541E-09,-2.01754415740566E-08,3.78334224688226E-05,1.08516622017588E-05,1.74950666609677E-05,0,0,0,0,0,0,package://mycobot_320/meshes/j1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/j1.STL,,j1.STEP-2,Origin_j1_to_base,Axis_j1_to_base,j1_to_base,revolute,0,0,0.072677,0,0,1.5423,arm_base,0,0,1,1000,0,-3.14,3.14,,,,,,,,
j2,-0.0513897959483668,1.03416109062133E-07,0.0428557705148588,0,0,0,0.0376782548805202,1.11164690983472E-05,-6.38474472311225E-09,-2.0084433833182E-06,9.00231742503222E-05,3.96245537473233E-09,9.52053931799855E-05,0,0,0,0,0,0,package://mycobot_320/meshes/j2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/j2.STL,,j2.STEP-1,Origin_j2_to_j1,Axis_j2_to_j1,j2_to_j1,revolute,0,-0.0035666,0.06053,1.5708,1.5527,0,j1,0,0,1,1000,0,-3.14,3.14,,,,,,,,
j3,-0.0437220859914132,-1.2774481847333E-06,0.00135653065468257,0,0,0,0.0533399040690726,1.3694550753436E-05,-4.86029624235192E-09,-4.04939679872146E-06,9.74114113250282E-05,-2.54559379960044E-09,0.000101615718356252,0,0,0,0,0,0,package://mycobot_320/meshes/j3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/j3.STL,,j3.STEP-2,Origin_j3_to_j2,Axis_j3_to_j2,j3_to_j2,revolute,-0.1102,0,0,0,0,-0.43585,j2,0,0,1,1000,0,-3.14,3.14,,,,,,,,
j4,-1.40520224535812E-05,-0.0076816570577589,0.0230103540086662,0,0,0,0.0240733217897794,9.33009576664887E-06,-1.25594881163816E-10,2.4324214522356E-09,7.82113831853559E-06,3.31133798836023E-06,7.74288688073051E-06,0,0,0,0,0,0,package://mycobot_320/meshes/j4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/j4.STL,,j4.STEP-2,Origin_j4_to_j3,Axis_j4_to_j3,j4_to_j3,revolute,-0.096,0,0.027014,0,0,0.56721,j3,0,0,1,1000,0,-3.14,3.14,,,,,,,,
j5,0.000112529211153511,0.00287540778498707,0.0396485032237697,0,0,0,0.0288700851686918,1.31118730631263E-05,-2.83589105523716E-08,-1.1232400033724E-08,1.30202251952408E-05,-2.99882844237461E-06,8.33442454575535E-06,0,0,0,0,0,0,package://mycobot_320/meshes/j5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://mycobot_320/meshes/j5.STL,,j5.STEP-1,Origin_j5_to_j4,Axis_j5_to_j4,j5_to_j4,revolute,0,-0.024124,0.033515,1.5708,-0.64832,0,j4,0,0,1,1000,0,-3.14,3.14,,,,,,,,
j6,-1.18357394707225E-06,-3.05824490363232E-06,0.0305489098542017,0,0,0,0.00770532070308737,8.40243449154729E-07,7.46728835461358E-14,5.37605897551446E-11,8.40609096397143E-07,-1.3115260747023E-10,1.35522228863536E-06,0,0,0,0,0,0,package://mycobot_320/meshes/j6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mycobot_320/meshes/j6.STL,,j6.STEP-1,Origin_j6_to_j5,Axis_j6_to_j5,j6_to_j5,revolute,0,0.0096091,0.051625,-1.5708,0.0010726,0,j5,0,0,1,1000,0,-3.14,3.14,,,,,,,,
