Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0022188,-0.077174,0.28987,0,0,0,15.916,0.62837,-0.001174,-0.00021831,0.41311,-0.047911,0.46425,0,0,0,0,0,0,package://toilet_urdf/meshes/base_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://toilet_urdf/meshes/base_link.STL,,assento_do_vaso_sanitario-1;vaso-1;tampa_reservatorio_agua_vaso-1;parafuso_fixador_tampa_privada-1;parafuso_fixador_tampa_privada-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
toilet_shaft_link,1.6914E-17,5.5511E-17,1.7347E-18,0,0,0,0.023616,4.2361E-07,-8.5674E-39,9.2644E-23,8.6036E-05,-1.7001E-40,8.6036E-05,0,0,0,0,0,0,package://toilet_urdf/meshes/toilet_shaft_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://toilet_urdf/meshes/toilet_shaft_link.STL,,pino_centro-tampa_do_vaso-1,Origin_toiley_shaft_joint,,toiley_shaft_joint,fixed,-0.003,0.0115,0.4165,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
toilet_cover_link,0.0029453,0.22576,-0.02496,0,0,0,0.4649,0.0076253,-2.4085E-06,1.5042E-07,0.0057384,9.3507E-05,0.013289,0,0,0,0,0,0,package://toilet_urdf/meshes/toilet_cover_link.STL,0.98824,0.73725,0.51765,1,0,0,0,0,0,0,package://toilet_urdf/meshes/toilet_cover_link.STL,,tampa_assento_do_vaso_sanitario-2,Origin_toiley_shaft_joint,Axis_toilet_cover_joint,toilet_cover_joint,continuous,0,0,0,0,0,0,toilet_shaft_link,-1,0,0,1000,0,1.57,0,,,,,,,,
